"Institution Name (RSSD ID)","Location","Total Assets 3","Date 3"
"JPMORGAN CHASE & CO. (1039502)","NEW YORK, NY","$2,417,121,000",2015-09-30
"BANK OF AMERICA CORPORATION (1073757)","CHARLOTTE, NC","$2,154,342,000",2015-09-30
"CITIGROUP INC. (1951350)","NEW YORK, NY","$1,808,356,000",2015-09-30
"WELLS FARGO & COMPANY (1120754)","SAN FRANCISCO, CA","$1,751,265,000",2015-09-30
"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY","$880,607,000",2015-09-30
"MORGAN STANLEY (2162966)","NEW YORK, NY","$834,113,000",2015-09-30
"GENERAL ELECTRIC CAPITAL CORPORATION (1631915)","NORWALK, CT","$436,641,069",2015-09-30
"U.S. BANCORP (1119794)","MINNEAPOLIS, MN","$415,943,000",2015-09-30
"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","NEW YORK, NY","$377,371,000",2015-09-30
"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","PITTSBURGH, PA","$362,137,164",2015-09-30
"CAPITAL ONE FINANCIAL CORPORATION (2277860)","MCLEAN, VA","$313,827,584",2015-09-30
"HSBC NORTH AMERICA HOLDINGS INC. (3232316)","NEW YORK, NY","$291,611,246",2015-09-30
"TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170)","NEW YORK, NY","$268,247,053",2015-09-30
"TD GROUP US HOLDINGS LLC (3606542)","WILMINGTON, DE","$261,164,836",2015-09-30
"STATE STREET CORPORATION (1111435)","BOSTON, MA","$247,273,625",2015-09-30
"BB&T CORPORATION (1074156)","WINSTON SALEM, NC","$208,808,671",2015-09-30
"SUNTRUST BANKS, INC. (1131787)","ATLANTA, GA","$187,255,650",2015-09-30
"CHARLES SCHWAB CORPORATION, THE (1026632)","SAN FRANCISCO, CA","$170,402,000",2015-09-30
"ALLY FINANCIAL INC. (1562859)","DETROIT, MI","$156,105,000",2015-09-30
"AMERICAN EXPRESS COMPANY (1275216)","NEW YORK, NY","$154,205,000",2015-09-30
"FIFTH THIRD BANCORP (1070345)","CINCINNATI, OH","$141,917,763",2015-09-30
"UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376)","SAN ANTONIO, TX","$135,916,817",2015-09-30
"CITIZENS FINANCIAL GROUP, INC. (1132449)","PROVIDENCE, RI","$135,811,131",2015-09-30
"STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207)","BLOOMINGTON, IL","$135,372,076",2015-09-30
"SANTANDER HOLDINGS USA, INC. (3981856)","BOSTON, MA","$130,930,367",2015-09-30
"BMO FINANCIAL CORP. (1245415)","WILMINGTON, DE","$125,419,384",2015-09-30
"REGIONS FINANCIAL CORPORATION (3242838)","BIRMINGHAM, AL","$124,891,540",2015-09-30
"NORTHERN TRUST CORPORATION (1199611)","CHICAGO, IL","$119,995,234",2015-09-30
"MUFG AMERICAS HOLDINGS CORPORATION (1378434)","NEW YORK, NY","$115,163,500",2015-09-30
"M&T BANK CORPORATION (1037003)","BUFFALO, NY","$97,797,062",2015-09-30
"KEYCORP (1068025)","CLEVELAND, OH","$95,476,859",2015-09-30
"BANCWEST CORPORATION (1025608)","HONOLULU, HI","$92,869,993",2015-09-30
"BBVA COMPASS BANCSHARES, INC. (1078529)","HOUSTON, TX","$89,360,000",2015-09-30
"DISCOVER FINANCIAL SERVICES (3846375)","RIVERWOODS, IL","$85,611,791",2015-09-30
"COMERICA INCORPORATED (1199844)","DALLAS, TX","$71,212,885",2015-09-30
"HUNTINGTON BANCSHARES INCORPORATED (1068191)","COLUMBUS, OH","$70,210,178",2015-09-30
"CIT GROUP INC. (1036967)","LIVINGSTON, NJ","$68,125,502",2015-09-30
"ZIONS BANCORPORATION (1027004)","SALT LAKE CITY, UT","$58,410,927",2015-09-30
"DEUTSCHE BANK TRUST CORPORATION (1032473)","NEW YORK, NY","$57,375,000",2015-09-30
"NEW YORK COMMUNITY BANCORP, INC. (2132932)","WESTBURY, NY","$49,045,482",2015-09-30
"SVB FINANCIAL GROUP (1031449)","SANTA CLARA, CA","$41,733,585",2015-09-30
"E*TRADE FINANCIAL CORPORATION (3412583)","NEW YORK, NY","$41,206,541",2015-09-30
"FIRST NIAGARA FINANCIAL GROUP, INC. (2648693)","BUFFALO, NY","$39,418,193",2015-09-30
"PEOPLE'S UNITED FINANCIAL, INC. (3650152)","BRIDGEPORT, CT","$37,465,985",2015-09-30
"NATIONWIDE MUTUAL INSURANCE COMPANY (3828072)","COLUMBUS, OH","$35,636,495",2015-09-30
"MUTUAL OF OMAHA INSURANCE COMPANY (1583836)","OMAHA, NE","$35,579,796",2015-09-30
"CITY NATIONAL CORPORATION (1027518)","LOS ANGELES, CA","$35,575,724",2015-09-30
"POPULAR, INC. (1129382)","SAN JUAN, PR","$35,528,000",2015-09-30
"HUDSON CITY BANCORP, INC. (2367556)","PARAMUS, NJ","$35,121,018",2015-09-30
"JOHN DEERE CAPITAL CORPORATION (3843075)","RENO, NV","$35,063,293",2015-09-30
"FIRST CITIZENS BANCSHARES, INC. (1075612)","RALEIGH, NC","$31,449,824",2015-09-30
"EAST WEST BANCORP, INC. (2734233)","PASADENA, CA","$31,119,855",2015-09-30
"BOK FINANCIAL CORPORATION (1883693)","TULSA, OK","$30,601,382",2015-09-30
"CULLEN/FROST BANKERS, INC. (1102367)","SAN ANTONIO, TX","$28,403,675",2015-09-30
"SYNOVUS FINANCIAL CORP. (1078846)","COLUMBUS, GA","$28,167,827",2015-09-30
"ASSOCIATED BANC-CORP (1199563)","GREEN BAY, WI","$27,467,243",2015-09-30
"BARCLAYS DELAWARE HOLDINGS LLC (2938451)","WILMINGTON, DE","$26,620,161",2015-09-30
"RAYMOND JAMES FINANCIAL, INC. (3815157)","SAINT PETERSBURG, FL","$26,474,162",2015-09-30
"UTRECHT-AMERICA HOLDINGS, INC. (2307280)","NEW YORK, NY","$26,163,730",2015-09-30
"FIRST HORIZON NATIONAL CORPORATION (1094640)","MEMPHIS, TN","$25,388,586",2015-09-30
"FIRSTMERIT CORPORATION (1070804)","AKRON, OH","$25,255,384",2015-09-30
"EVERBANK FINANCIAL CORP (3838857)","JACKSONVILLE, FL","$25,214,743",2015-09-30
"WEBSTER FINANCIAL CORPORATION (1145476)","WATERBURY, CT","$24,083,042",2015-09-30
"COMMERCE BANCSHARES, INC. (1049341)","KANSAS CITY, MO","$23,989,012",2015-09-30
"UMPQUA HOLDINGS CORPORATION (2747644)","PORTLAND, OR","$23,173,041",2015-09-30
"BANKUNITED, INC. (4028712)","MIAMI LAKES, FL","$22,537,671",2015-09-30
"SCOTTRADE FINANCIAL SERVICES, INC. (3242735)","TOWN AND COUNTRY, MO","$22,259,828",2015-09-30
"WINTRUST FINANCIAL CORPORATION (2260406)","ROSEMONT, IL","$22,053,870",2015-09-30
"HANCOCK HOLDING COMPANY (1086533)","GULFPORT, MS","$21,615,845",2015-09-30
"PROSPERITY BANCSHARES, INC. (1109599)","HOUSTON, TX","$21,567,944",2015-09-30
"INVESTORS BANCORP, INC. (2477754)","SHORT HILLS, NJ","$20,336,160",2015-09-30
"TCF FINANCIAL CORPORATION (2389941)","WAYZATA, MN","$20,141,423",2015-09-30
"MACY'S, INC. (4103310)","CINCINNATI, OH","$20,115,945",2015-09-30
"VALLEY NATIONAL BANCORP (1048773)","WAYNE, NJ","$19,571,532",2015-09-30
"IBERIABANK CORPORATION (2291914)","LAFAYETTE, LA","$19,534,225",2015-09-30
"TEXAS CAPITAL BANCSHARES, INC. (2706735)","DALLAS, TX","$18,666,031",2015-09-30
"UMB FINANCIAL CORPORATION (1049828)","KANSAS CITY, MO","$18,597,965",2015-09-30
"FULTON FINANCIAL CORPORATION (1117129)","LANCASTER, PA","$17,795,149",2015-09-30
"FIRST NATIONAL OF NEBRASKA, INC. (1020902)","OMAHA, NE","$17,721,789",2015-09-30
"PRIVATEBANCORP, INC. (1839319)","CHICAGO, IL","$16,894,605",2015-09-30
"F.N.B. CORPORATION (3005332)","PITTSBURGH, PA","$16,836,073",2015-09-30
"PACWEST BANCORP (2875332)","LOS ANGELES, CA","$16,814,792",2015-09-30
"ARVEST BANK GROUP, INC. (1095674)","BENTONVILLE, AR","$15,602,572",2015-09-30
"BANK OF HAWAII CORPORATION (1025309)","HONOLULU, HI","$15,228,349",2015-09-30
"ASTORIA FINANCIAL CORPORATION (2504128)","LAKE SUCCESS, NY","$15,099,204",2015-09-30
