"Institution Name (RSSD ID)","Location","Total Assets 0","Date 0","Total Assets 1","Date 1","Total Assets 2","Date 2","Total Assets 3","Date 3","Total Assets 4","Date 4","Total Assets 5","Date 5","Total Assets 6","Date 6","Total Assets 7","Date 7","Total Assets 8","Date 8","Total Assets 9","Date 9","Total Assets 10","Date 10","Total Assets 11","Date 11","Total Assets 12","Date 12","Total Assets 13","Date 13","Total Assets 14","Date 14"
"ALLY FINANCIAL INC. (1562859)","DETROIT, MI","$157,931,000",2016-06-30,"$156,505,000",2016-03-31,"$158,581,000",2015-12-31,"$156,105,000",2015-09-30,"$156,472,000",2015-06-30,"$153,524,000",2015-03-31,"$151,828,000",2014-12-31,"$149,195,000",2014-09-30,"$149,937,000",2014-06-30,"$148,452,000",2014-03-31,"$151,167,000",2013-12-31,"$150,556,000",2013-09-30,"$150,627,000",2013-06-30,"$166,199,000",2013-03-31,"$182,347,000",2012-12-31
"AMERICAN EXPRESS COMPANY (1275216)","NEW YORK, NY","$159,632,000",2016-06-30,"$158,804,000",2016-03-31,"$161,172,000",2015-12-31,"$154,205,000",2015-09-30,"$157,141,000",2015-06-30,"$154,674,000",2015-03-31,"$159,103,000",2014-12-31,"$153,862,000",2014-09-30,"$152,384,000",2014-06-30,"$151,497,000",2014-03-31,"$153,387,000",2013-12-31,"$150,152,000",2013-09-30,"$151,980,000",2013-06-30,"$156,903,000",2013-03-31,"$153,418,000",2012-12-31
"AMERICAN INTERNATIONAL GROUP, INC. (1562176)","NEW YORK, NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$547,111,000",2014-03-31,"$541,329,000",2013-12-31,"$540,744,000",2013-09-30,"$537,438,000",2013-06-30,NA,NA,NA,NA
"AMERITAS MUTUAL HOLDING COMPANY (3910641)","LINCOLN, NE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$18,787,220",2013-09-30,"$18,554,575",2013-06-30,"$18,833,506",2013-03-31,"$18,502,196",2012-12-31
"APPLE FINANCIAL HOLDINGS, INC. (3446412)","NEW YORK, NY","$12,884,030",2016-06-30,"$12,859,663",2016-03-31,"$12,795,071",2015-12-31,"$12,371,566",2015-09-30,"$11,775,081",2015-06-30,"$11,882,771",2015-03-31,"$11,659,386",2014-12-31,"$11,688,202",2014-09-30,"$11,581,188",2014-06-30,"$11,575,745",2014-03-31,"$11,647,170",2013-12-31,"$11,888,008",2013-09-30,"$11,991,050",2013-06-30,NA,NA,NA,NA
"ARVEST BANK GROUP, INC. (1095674)","BENTONVILLE, AR","$16,634,738",2016-06-30,"$16,434,884",2016-03-31,"$15,864,120",2015-12-31,"$15,602,572",2015-09-30,"$15,429,891",2015-06-30,"$15,844,167",2015-03-31,"$14,970,127",2014-12-31,"$14,969,471",2014-09-30,"$14,730,285",2014-06-30,"$14,556,251",2014-03-31,"$14,113,477",2013-12-31,"$13,986,055",2013-09-30,"$14,160,917",2013-06-30,"$14,294,687",2013-03-31,"$13,233,050",2012-12-31
"ASSOCIATED BANC-CORP (1199563)","GREEN BAY, WI","$29,038,699",2016-06-30,"$28,178,867",2016-03-31,"$27,715,021",2015-12-31,"$27,467,243",2015-09-30,"$27,185,145",2015-06-30,"$27,088,806",2015-03-31,"$26,821,774",2014-12-31,"$25,653,822",2014-09-30,"$25,727,786",2014-06-30,"$24,806,197",2014-03-31,"$24,226,920",2013-12-31,"$23,688,675",2013-09-30,"$23,616,944",2013-06-30,"$23,277,768",2013-03-31,"$23,487,735",2012-12-31
"ASTORIA FINANCIAL CORPORATION (2504128)","LAKE SUCCESS, NY","$15,017,071",2016-06-30,"$15,023,537",2016-03-31,"$15,076,211",2015-12-31,"$15,099,204",2015-09-30,"$15,295,356",2015-06-30,"$15,535,572",2015-03-31,"$15,640,021",2014-12-31,"$15,460,281",2014-09-30,"$15,742,065",2014-06-30,"$15,699,906",2014-03-31,"$15,793,722",2013-12-31,"$16,022,089",2013-09-30,"$16,101,065",2013-06-30,"$16,210,524",2013-03-31,"$16,496,642",2012-12-31
"BANC OF CALIFORNIA, INC. (3153130)","IRVINE, CA","$10,157,662",2016-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BANCORPSOUTH, INC. (1097614)","TUPELO, MS","$14,130,157",2016-06-30,"$13,925,516",2016-03-31,"$13,802,637",2015-12-31,"$13,786,921",2015-09-30,"$13,636,675",2015-06-30,"$13,635,049",2015-03-31,"$13,326,530",2014-12-31,"$13,074,902",2014-09-30,"$12,989,487",2014-06-30,"$13,148,062",2014-03-31,"$13,045,442",2013-12-31,"$12,930,641",2013-09-30,"$13,220,451",2013-06-30,"$13,395,806",2013-03-31,"$13,401,898",2012-12-31
