NAME,ID_RSSD,change(2013-2014),RISKM350(2013),RISKM350(2014),RISKM362(2013),RISKM362(2014),RISKM370(2013),RISKM370(2014),RISKM376(2013),RISKM376(2014),RISKM390(2013),RISKM390(2014),RISKM405(2013),RISKM405(2014),RISKM408(2013),RISKM408(2014),RISKM411(2013),RISKM411(2014),RISKN255(2013),RISKN255(2014),RISKG506(2013),RISKG506(2014),RISKM422(2013),RISKM422(2014),RISKM426(2013),RISKM426(2014),
BANCWEST CORPORATION                                                                                                    ,1025608,0.090377763,102647429,111924474,889007,1295763,7834827,8252590,11550342,12027017,443211741,485680102,2774232,2798946,0,0,15779840,18211094,1220223,7175273,86228,104505,504000,726000,649713,1548138,
ZIONS BANCORPORATION                                                                                                    ,1027004,-0.010294889,75164968,74391153,2607120,1745942,2500617,2713341,10865666,9868090,437011292,417119391,2848606,3580745,231550,155175,3048640,3070052,2522819,1640664,1387287,514049,86000,95170,1954228,629230,
DEUTSCHE BANK TRUST CORPORATION                                                                                         ,1032473,-0.171488311,63609000,52700800,19744000,24422800,25846000,26104000,11819000,158500,58495158000,76992937000,0,0,0,0,14406000,9046000,52000,900,131000,83000,3983000,1074000,49000,1000,
M&T BANK CORPORATION                                                                                                    ,1037003,0.142811614,104645236,119589791,2069734,2260067,4983271,5014048,21928216,25803718,1594474130,1546287731,100836317,112906366,25845374,25633255,21408258,22149042,587514,1118271,72549,68365,272875,316901,30274,36478,
JPMORGAN CHASE & CO.                                                                                                    ,1039502,0.048622687,3569551800,3743113000,421963000,461425000,544258000,570830000,598997000,641607000,3.21E+11,3.23E+11,21320085000,21097734000,507734000,490698000,68003662000,65268349000,446323000,323285000,69310000,50457000,692557000,616296000,673734000,625601000,
KEYCORP                                                                                                                 ,1068025,0.045043294,134368815,140421229,6166322,5423331,724429,2139610,26156038,25397323,983712092,945763052,82230813,89323601,5378568,5838017,61561347,55642768,1643516,1371939,2764842,632417,2218000,1903000,27000,8000,
HUNTINGTON BANCSHARES INCORPORATED                                                                                      ,1068191,0.243423795,64612414,80340613,1550416,2270140,313497,1273678,15666103,16114479,302706092,431901654,79935242,79217167,941584,1142485,7580239,29096082,2909136,3693131,883774,1568234,834000,1529000,0,0,
"PNC FINANCIAL SERVICES GROUP, INC., THE                                                                                 ",1069778,0.081192044,425387038,459925081,17703000,18636000,13135000,8342000,67592500,78034804,2004252000,2598451000,161000000,171000000,10044000,12740000,251979000,278409000,25920729,16384612,10635103,10257987,4895000,5343000,1989000,2659000,
FIFTH THIRD BANCORP                                                                                                     ,1070345,0.060329893,174422686,184945588,4097911,3247588,8942647,3231856,37550497,38466464,1186752164,1479898463,240024096,246920645,5427541,6068426,63886559,62852773,6808392,5398929,488519,535396,4407000,4463000,562000,593000,
BANK OF AMERICA CORPORATION                                                                                             ,1073757,0.04251648,2695636963,2810245959,293938659,305364434,219926538,227579653,488785261,499710859,83704983990,93184380421,136190000,139555000,390267400,445911470,54887232052,52034159510,203137926,229594570,31779000,22265000,387493000,350009000,245722000,278666000,
BB&T CORPORATION                                                                                                        ,1074156,0.025359115,212387101,217773050,1470983,1688053,10316636,4558381,68851721,68023414,972398497,811414354,34913368,38953096,5511033,5591560,59275901,71581834,4024306,4558145,2201678,1939083,634000,851000,1409000,1059000,
"BBVA COMPASS BANCSHARES, INC.                                                                                           ",1078529,0.065599022,100957343,107580046,3574690,3897012,2381339,2656660,12790829,14487728,198758140,245028012,3069315,2616617,79954814,206041103,18058780,25000098,1088734,802349,32663,39401,860000,1509000,1864000,1929000,
STATE STREET CORPORATION                                                                                                ,1111435,-0.154059569,345428170,292211655,30393031,38366181,209263087,214038869,42822162,60107009,59122189977,71014770241,20411068000,21656000000,0,0,1141088650,1239187564,53759419,33982640,7563618,5446184,47446989,74588706,124911000,138801000,
U.S. BANCORP                                                                                                            ,1119794,0.026912935,524636200,538755700,11460000,15130000,21887000,13976000,138882000,174515000,6918228000,7772596000,959466000,1102084000,17199000,27517000,106000000,136400000,12961000,13830000,4042000,3754000,3297000,3192000,33759000,32731000,
WELLS FARGO & COMPANY                                                                                                   ,1120754,0.117497093,1961304700,2191752300,110263000,167007000,128896000,170841000,507718000,590283000,28761213000,34295107000,2400000000,2500000000,85947000,167681000,4879596000,5643148000,127761000,135221000,37171000,32324000,70104000,100542000,130239000,147496000,
"SUNTRUST BANKS, INC.                                                                                                    ",1131787,0.100391961,229448402,252483177,3490975,3520198,1307524,1281693,49991783,51740993,643952046,781719615,64437735,58848509,11251064,11870763,182526575,195902558,14987093,3331768,2629843,2450076,1643000,1963000,2002234,2063351,
"RBS CITIZENS FINANCIAL GROUP, INC.                                                                                      ",1132449,-1,146082291,0,3777723,0,3609774,0,1350000,0,2816151155,0,6723995,0,0,0,43162955,0,869364,0,735,0,1689000,0,954000,0,
NORTHERN TRUST CORPORATION                                                                                              ,1199611,0.064398275,142399203,151569466,43593978,43202591,12215420,17567798,16241617,16212311,32997307763,35333968065,5575700000,5968800000,0,0,254851428,270053503,11761216,7492238,98930,18109,28277000,26139000,51357603,50515000,
COMERICA INCORPORATED                                                                                                   ,1199844,0.04557371,98084049,102554103,8430610,6057572,4241765,4756909,17245465,15463121,245756383,250361020,53084403,55913242,1484000,1556000,20538469,21561311,1682347,1333855,161518,138553,1790000,2051000,1759000,1662000,
BMO FINANCIAL CORP.                                                                                                     ,1245415,-0.04336524,162934993,155869278,15723663,16264166,957768,881241,25682190,20465564,5244697795,6179034499,257113000,135147145,8304437,8401452,21976500,27762685,10560869,5567112,78116,78019,6756000,7177000,5772000,7177000,
TD BANK US HOLDING COMPANY                                                                                              ,1249196,0.024656981,276806643,283631859,14569418,12414462,5124830,4472244,8343534,9665726,2392518835,2417350454,9655029,9512576,0,0,151227643,234593809,17761485,39308286,1776915,1498489,35402000,28605000,1244000,1806000,
AMERICAN EXPRESS COMPANY                                                                                                ,1275216,0.043466611,177271700,184977100,7155000,8243000,36921000,5794000,161518000,162085000,143718000,140455000,0,0,0,0,42224000,47644000,4401000,3733000,0,0,29504000,27728000,19906000,17541000,
UNIONBANCAL CORPORATION                                                                                                 ,1378434,-1,146461571,0,9834218,0,5857953,0,19747054,0,1058278541,0,119954708,0,0,0,64308843,0,8144298,0,2289132,0,2201000,0,2618361,0,
ALLY FINANCIAL INC.                                                                                                     ,1562859,0.012002675,152516000,154346600,6098000,5416000,16534000,13796000,108149000,116354000,290017000,118390000,0,0,0,0,61542000,62313000,9027000,9089000,205000,50000,2236000,1843000,1932000,1622000,
CITIGROUP INC.                                                                                                          ,1951350,-0.044478986,2894627600,2765877500,420904000,317240000,512523000,458603000,595500000,505808000,3.01E+11,2.75E+11,11095924000,12520569000,331012000,370772000,59472006000,54952090000,130113000,168630000,45685000,43018000,838644000,832923000,742475000,756438000,
MORGAN STANLEY                                                                                                          ,2162966,-0.001163301,1282726862,1281234664,535021798,221710377,182491089,118359866,231405818,246186644,9811965074,11640647738,1369185923,1573836522,261804800,331344000,43610512376,34515890480,316368655,286974813,23281000,22137000,353380000,350157000,470008000,298181193,
CAPITAL ONE FINANCIAL CORPORATION                                                                                       ,2277860,0.051734032,336207913,353601304,14186642,17493034,2466871,1682001,94444311,104286648,913806352,772586038,2723565,4396411,1850634,2414208,63418291,88638547,16185755,10913085,3649231,1545268,9495000,8878000,1882420,469498,
"GOLDMAN SACHS GROUP, INC., THE                                                                                          ",2380443,-0.022076045,1517513700,1484013000,336644000,326951000,106942000,113405000,310141000,328277000,9584773000,11306295000,865755000,1013139000,371000000,346000000,50355240000,53478619000,138305000,148746000,43003000,44666000,346666000,333240000,319418000,289812000,
HSBC NORTH AMERICA HOLDINGS INC.                                                                                        ,3232316,0.027423095,405781917,416909713,35711365,36445147,54924874,41279038,50430948,54211153,1061322343,3704706937,42774610,39475866,48735223,51887060,5193826410,4737666123,39638238,43561152,4205968,4231606,43465000,44431000,897963,3000,
REGIONS FINANCIAL CORPORATION                                                                                           ,3242838,-1,145969288,0,1253874,0,6692841,0,27270646,0,754883180,0,22040423,0,44635403,0,74346037,0,5061298,0,313268,0,1058000,0,460000,0,
"BANK OF NEW YORK MELLON CORPORATION, THE                                                                                ",3587146,0.021885135,409666200,418631800,79313000,59446000,229805000,248552000,61106000,66878000,1.66E+11,2.19E+11,23590412000,24632807000,5840000,4904000,1157850000,1186938000,38944000,25031000,139000,90000,86775000,94164000,164125000,173677000,
DISCOVER FINANCIAL SERVICES                                                                                             ,3846375,0.047609156,95633012,100186019,6860945,7507731,295985,233917,74146000,79096438,321092913,321440963,0,0,0,0,11631070,11227315,559482,432589,4098,7496,192000,129000,21000,18000,
"SANTANDER HOLDINGS USA, INC.                                                                                            ",3981856,0.489146103,98283410,146358357,3861761,3821355,401818,7289948,11631170,21681932,24074151,51581191,0,0,0,0,17537179,49005497,11600007,9122584,195288,2261671,3824906,3785125,1210379,574069,
